prompt_id,anchor,refit_rank,refit_reciprocal_rank,public_rank,public_reciprocal_rank,delta_reciprocal_rank_refit_minus_public,refit_rank_better,rank_tie
standard_test_015,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_015,gen_5,3,0.3333333333333333,1,1.0,-0.6666666666666667,False,False
standard_test_016,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_016,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_017,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_017,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_018,response_average,2,0.5,1,1.0,-0.5,False,False
standard_test_018,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_019,response_average,6,0.16666666666666666,2,0.5,-0.33333333333333337,False,False
standard_test_019,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_020,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_020,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_021,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_021,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_022,response_average,2,0.5,1,1.0,-0.5,False,False
standard_test_022,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_023,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_023,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_024,response_average,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_024,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_025,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_025,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_026,response_average,29,0.034482758620689655,26,0.038461538461538464,-0.003978779840848809,False,False
standard_test_026,gen_5,227,0.004405286343612335,189,0.005291005291005291,-0.0008857189473929555,False,False
standard_test_027,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_027,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_028,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_028,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_029,response_average,7,0.14285714285714285,3,0.3333333333333333,-0.19047619047619047,False,False
standard_test_029,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_030,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_030,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_031,response_average,6,0.16666666666666666,2,0.5,-0.33333333333333337,False,False
standard_test_031,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_032,response_average,5,0.2,3,0.3333333333333333,-0.1333333333333333,False,False
standard_test_032,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_033,response_average,2,0.5,1,1.0,-0.5,False,False
standard_test_033,gen_5,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_034,response_average,7589,0.00013176966662274345,6540,0.0001529051987767584,-2.1135532154014953e-05,False,False
standard_test_034,gen_5,8327,0.00012009126936471719,5703,0.0001753463089601964,-5.525503959547921e-05,False,False
standard_test_035,response_average,1105,0.0009049773755656109,2048,0.00048828125,0.0004166961255656109,True,False
standard_test_035,gen_5,81698,1.2240201718524322e-05,75267,1.3286035048560458e-05,-1.0458333300361368e-06,False,False
standard_test_036,response_average,6,0.16666666666666666,2,0.5,-0.33333333333333337,False,False
standard_test_036,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_037,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_037,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_038,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_038,gen_5,4,0.25,4,0.25,0.0,False,True
standard_test_039,response_average,7,0.14285714285714285,4,0.25,-0.10714285714285715,False,False
standard_test_039,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_040,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_040,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_041,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_041,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_042,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_042,gen_5,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_043,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_043,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_044,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_044,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_045,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_045,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_046,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_046,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_047,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_047,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_048,response_average,7512,0.00013312034078807243,8763,0.00011411617026132602,1.9004170526746406e-05,True,False
standard_test_048,gen_5,47925,2.0865936358894105e-05,32464,3.0803351404632826e-05,-9.93741504573872e-06,False,False
standard_test_049,response_average,2,0.5,1,1.0,-0.5,False,False
standard_test_049,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_050,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_050,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_051,response_average,6,0.16666666666666666,2,0.5,-0.33333333333333337,False,False
standard_test_051,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_052,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_052,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_053,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_053,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_054,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_054,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_055,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_055,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_056,response_average,6,0.16666666666666666,2,0.5,-0.33333333333333337,False,False
standard_test_056,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_057,response_average,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_057,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_058,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_058,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_059,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_059,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_061,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_061,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_062,response_average,5,0.2,3,0.3333333333333333,-0.1333333333333333,False,False
standard_test_062,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_063,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_063,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_064,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_064,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_065,response_average,4,0.25,4,0.25,0.0,False,True
standard_test_065,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_066,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_066,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_067,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_067,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_068,response_average,6,0.16666666666666666,4,0.25,-0.08333333333333334,False,False
standard_test_068,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_069,response_average,4,0.25,4,0.25,0.0,False,True
standard_test_069,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_070,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_070,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_071,response_average,6,0.16666666666666666,5,0.2,-0.033333333333333354,False,False
standard_test_071,gen_5,3,0.3333333333333333,4,0.25,0.08333333333333331,True,False
standard_test_072,response_average,5,0.2,2,0.5,-0.3,False,False
standard_test_072,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_073,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_073,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_074,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_074,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_075,response_average,10,0.1,8,0.125,-0.024999999999999994,False,False
standard_test_075,gen_5,39,0.02564102564102564,50,0.02,0.00564102564102564,True,False
standard_test_076,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_076,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_077,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_077,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_078,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_078,gen_5,2202,0.00045413260672116256,3128,0.00031969309462915604,0.00013443951209200653,True,False
standard_test_079,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_079,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_080,response_average,9304,0.00010748065348237318,7387,0.0001353729524840937,-2.7892299001720515e-05,False,False
standard_test_080,gen_5,3636,0.000275027502750275,3104,0.00032216494845360824,-4.713744570333323e-05,False,False
standard_test_081,response_average,7,0.14285714285714285,2,0.5,-0.35714285714285715,False,False
standard_test_081,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_082,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_082,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_083,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_083,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_084,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_084,gen_5,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_085,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_085,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_086,response_average,3,0.3333333333333333,3,0.3333333333333333,0.0,False,True
standard_test_086,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_087,response_average,8,0.125,4,0.25,-0.125,False,False
standard_test_087,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_088,response_average,319,0.003134796238244514,313,0.003194888178913738,-6.00919406692239e-05,False,False
standard_test_088,gen_5,67,0.014925373134328358,41,0.024390243902439025,-0.009464870768110667,False,False
standard_test_089,response_average,2,0.5,2,0.5,0.0,False,True
standard_test_089,gen_5,2,0.5,2,0.5,0.0,False,True
standard_test_090,response_average,6,0.16666666666666666,3,0.3333333333333333,-0.16666666666666666,False,False
standard_test_090,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_091,response_average,7,0.14285714285714285,3,0.3333333333333333,-0.19047619047619047,False,False
standard_test_091,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_092,response_average,49,0.02040816326530612,58,0.017241379310344827,0.0031667839549612935,True,False
standard_test_092,gen_5,49,0.02040816326530612,50,0.02,0.0004081632653061204,True,False
standard_test_093,response_average,6,0.16666666666666666,3,0.3333333333333333,-0.16666666666666666,False,False
standard_test_093,gen_5,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_094,response_average,7,0.14285714285714285,3,0.3333333333333333,-0.19047619047619047,False,False
standard_test_094,gen_5,3,0.3333333333333333,1,1.0,-0.6666666666666667,False,False
standard_test_095,response_average,4,0.25,3,0.3333333333333333,-0.08333333333333331,False,False
standard_test_095,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_096,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_096,gen_5,1,1.0,1,1.0,0.0,False,True
standard_test_097,response_average,3,0.3333333333333333,2,0.5,-0.16666666666666669,False,False
standard_test_097,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_098,response_average,4,0.25,2,0.5,-0.25,False,False
standard_test_098,gen_5,2,0.5,1,1.0,-0.5,False,False
standard_test_099,response_average,1,1.0,1,1.0,0.0,False,True
standard_test_099,gen_5,2,0.5,1,1.0,-0.5,False,False
